,op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name,range,rmse/scale
620,FULLY_CONNECTED,3108,301056.0,0.3411884,0.0023534046,3.4165041,0.11677716,0.2071961,17,onnx_tf_prefix_Mul_855;onnx_tf_prefix_Add_856;onnx_tf_prefix_MatMul_857;onnx_tf_prefix_Add_858;onnx_tf_prefix_Mul_8601,52.8350055,1.6492913376817724
619,FULLY_CONNECTED,3104,301056.0,0.20046282,0.0013807777,2.0073493,0.040312245,0.12173686,17,onnx_tf_prefix_Mul_855;onnx_tf_prefix_Add_856;onnx_tf_prefix_MatMul_857;onnx_tf_prefix_Add_8581,31.042899300000002,1.6492876112242907
636,FULLY_CONNECTED,3172,301056.0,0.17560162,0.004230997,1.8018047,0.030931614,0.111622445,16,onnx_tf_prefix_Mul_879;onnx_tf_prefix_Add_880;onnx_tf_prefix_MatMul_881;onnx_tf_prefix_Add_8821,28.463723475000002,1.5756137415306475
637,FULLY_CONNECTED,3176,301056.0,0.2988735,0.0072002937,3.066665,0.089602545,0.18998142,16,onnx_tf_prefix_Mul_879;onnx_tf_prefix_Add_880;onnx_tf_prefix_MatMul_881;onnx_tf_prefix_Add_882;onnx_tf_prefix_Mul_8841,48.4452621,1.5756111415308804
623,FULLY_CONNECTED,3120,75264.0,0.31939915,0.0025558427,47.259212,0.13743411,0.23651196,-31,onnx_tf_prefix_MatMul_863;onnx_tf_prefix_Add_864;onnx_tf_prefix_Mul_865,60.3105498,1.5674516741166027
497,DEPTHWISE_CONV_2D,2616,150528.0,3.8550215,-0.0310836,257.07474,17.267088,2.7112682,15,Add_30;depthwise_32;depthwise_27;Const_87,691.3733910000001,1.532629112719362
280,MEAN,1748,196.0,0.18172951,-0.010831486,1.4313127,0.14885007,0.25749007,-128,onnx_tf_prefix_ReduceMean_381,65.65996785,1.4983526362598403
319,FULLY_CONNECTED,1904,602112.0,0.18832716,-0.012912551,1.208948,0.035665084,0.13008477,22,onnx_tf_prefix_Mul_434;onnx_tf_prefix_Add_435;onnx_tf_prefix_MatMul_436;onnx_tf_prefix_Add_437;onnx_tf_prefix_Mul_4391,33.171616349999994,1.4517611565106499
318,FULLY_CONNECTED,1900,602112.0,0.11064991,-0.007585591,0.7103105,0.012311726,0.076430544,22,onnx_tf_prefix_Mul_434;onnx_tf_prefix_Add_435;onnx_tf_prefix_MatMul_436;onnx_tf_prefix_Add_4371,19.48978872,1.4517522910907357
492,FULLY_CONNECTED,2596,150528.0,2.9766538,-0.015733628,254.859,9.827328,2.1787403,-100,onnx_tf_prefix_MatMul_682;onnx_tf_prefix_Add_683;onnx_tf_prefix_Mul_684,555.5787765,1.4388391927824775
