op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name
CONV_2D,487,200704.0,0.003140764,4.9473518e-05,0.02116567,9.86812e-06,0.010073819,0,Add_28;convolution_42;convolution_27;Const_52
ADD,491,200704.0,0.0018202517,-1.60542e-05,0.012489121,3.3141391e-06,0.009543681,-128,onnx_tf_prefix_Relu_61;onnx_tf_prefix_Add_60
CONV_2D,495,50176.0,0.0021396184,-4.8898513e-05,0.013686281,4.581312e-06,0.00991449,-128,onnx_tf_prefix_Relu_63;Add_29;convolution_41;convolution_28;Const_50
TRANSPOSE,499,50176.0,0.0,0.0,0.0,0.0,0.00991449,-128,transpose_88
PAD,503,65536.0,0.0,0.0,0.0,0.0,0.00991449,-128,Pad_9
TRANSPOSE,507,65536.0,0.0,0.0,0.0,0.0,0.00991449,-128,transpose_90
CONV_2D,511,50176.0,0.0015844087,-1.6479324e-05,0.012026283,2.5120567e-06,0.0071008164,-128,onnx_tf_prefix_Relu_65;Add_30;convolution_41;convolution_29;Const_48
CONV_2D,515,200704.0,0.006214897,2.4268451e-05,0.02372842,3.8625745e-05,0.02124891,-13,Add_31;convolution_42;convolution_30;Const_46
ADD,519,200704.0,0.0029589355,-0.0003059752,0.007248491,8.85161e-06,0.014497207,-128,onnx_tf_prefix_Relu_68;onnx_tf_prefix_Add_67
CONV_2D,523,50176.0,0.0013193582,-1.4412633e-05,0.010929207,1.7433238e-06,0.005402481,-128,onnx_tf_prefix_Relu_70;Add_32;convolution_41;convolution_31;Const_44
TRANSPOSE,527,50176.0,0.0,0.0,0.0,0.0,0.005402481,-128,transpose_97
PAD,531,65536.0,0.0,0.0,0.0,0.0,0.005402481,-128,Pad_10
TRANSPOSE,535,65536.0,0.0,0.0,0.0,0.0,0.005402481,-128,transpose_99
CONV_2D,539,50176.0,0.001053967,-8.1301516e-07,0.00937862,1.1113872e-06,0.00427954,-128,onnx_tf_prefix_Relu_72;Add_33;convolution_41;convolution_32;Const_42
CONV_2D,543,200704.0,0.0031123115,1.4112156e-05,0.014313703,9.686927e-06,0.010294554,5,Add_34;convolution_42;convolution_33;Const_40
ADD,547,200704.0,0.0025747316,6.960987e-05,0.006624991,6.635227e-06,0.013253497,-128,onnx_tf_prefix_Relu_75;onnx_tf_prefix_Add_74
CONV_2D,551,50176.0,0.0012315363,9.394996e-07,0.012541399,1.5187071e-06,0.00537742,-128,onnx_tf_prefix_Relu_77;Add_35;convolution_41;convolution_34;Const_38
TRANSPOSE,555,50176.0,0.0,0.0,0.0,0.0,0.00537742,-128,transpose_106
PAD,559,65536.0,0.0,0.0,0.0,0.0,0.00537742,-128,Pad_11
TRANSPOSE,563,65536.0,0.0,0.0,0.0,0.0,0.00537742,-128,transpose_108
CONV_2D,567,50176.0,0.001157289,-8.3694995e-06,0.011537745,1.3398685e-06,0.0050789258,-128,onnx_tf_prefix_Relu_79;Add_36;convolution_41;convolution_35;Const_36
CONV_2D,571,200704.0,0.0055068093,3.4911212e-05,0.02184672,3.0326493e-05,0.018850192,2,Add_37;convolution_42;convolution_36;Const_34
ADD,575,200704.0,0.003083746,-0.00018895575,0.008440066,9.546839e-06,0.016881382,-128,onnx_tf_prefix_Relu_82;onnx_tf_prefix_Add_81
CONV_2D,579,50176.0,0.0014066584,1.6240183e-05,0.015946968,1.9804045e-06,0.0069013624,-128,onnx_tf_prefix_Relu_84;Add_38;convolution_41;convolution_37;Const_32
TRANSPOSE,583,50176.0,0.0,0.0,0.0,0.0,0.0069013624,-128,transpose_115
PAD,587,65536.0,0.0,0.0,0.0,0.0,0.0069013624,-128,Pad_12
TRANSPOSE,591,65536.0,0.0,0.0,0.0,0.0,0.0069013624,-128,transpose_117
CONV_2D,595,50176.0,0.0012021764,3.007587e-05,0.013785008,1.4478487e-06,0.0056018312,-128,onnx_tf_prefix_Relu_86;Add_39;convolution_41;convolution_38;Const_30
CONV_2D,599,200704.0,0.0039177104,2.4298066e-05,0.019265445,1.5349626e-05,0.013070389,16,Add_40;convolution_42;convolution_39;Const_28
ADD,603,200704.0,0.0029192665,0.00014561389,0.008656383,8.547307e-06,0.017314658,-128,onnx_tf_prefix_Relu_89;onnx_tf_prefix_Add_88
CONV_2D,607,50176.0,0.001738703,1.4865003e-05,0.013115122,3.0246076e-06,0.009995862,-128,onnx_tf_prefix_Relu_91;Add_41;convolution_41;convolution_40;Const_26
TRANSPOSE,611,50176.0,0.0,0.0,0.0,0.0,0.009995862,-128,transpose_124
PAD,615,65536.0,0.0,0.0,0.0,0.0,0.009995862,-128,Pad_13
TRANSPOSE,619,65536.0,0.0,0.0,0.0,0.0,0.009995862,-128,transpose_126
CONV_2D,623,50176.0,0.0021380764,4.3046607e-06,0.013759559,4.574634e-06,0.011856745,-128,onnx_tf_prefix_Relu_93;Add_42;convolution_41;Const_24
CONV_2D,627,200704.0,0.006428732,8.338037e-06,0.031794902,4.132928e-05,0.02200752,9,Add_43;convolution_42;Const_22
ADD,631,200704.0,0.0018011611,9.100991e-05,0.0059901476,3.2564953e-06,0.011988977,-128,onnx_tf_prefix_Relu_96;onnx_tf_prefix_Add_95
CONV_2D,635,100352.0,0.0014151125,-1.45358645e-05,0.016708605,2.0079535e-06,0.008944058,-128,onnx_tf_prefix_Relu_98;Add_44;convolution_51;convolution_43;Const_20
TRANSPOSE,639,100352.0,0.0,0.0,0.0,0.0,0.008944058,-128,transpose_133
PAD,643,131072.0,0.0,0.0,0.0,0.0,0.008944058,-128,Pad_14
TRANSPOSE,647,131072.0,0.0,0.0,0.0,0.0,0.008944058,-128,transpose_135
CONV_2D,651,25088.0,0.0017802492,-9.245326e-06,0.014295486,3.1804223e-06,0.009188832,-128,onnx_tf_prefix_Relu_100;Add_45;convolution_51;convolution_44;Const_18
CONV_2D,655,100352.0,0.011402452,5.0437343e-06,0.078571096,0.00013003331,0.037069235,-38,Add_46;convolution_52;convolution_45;Const_16
CONV_2D,659,100352.0,0.01262967,2.0458456e-05,0.11957951,0.0001595223,0.041594755,-3,Add_47;convolution_52;convolution_46;Const_14
ADD,663,100352.0,0.006840703,-7.52394e-05,0.01908505,4.6814082e-05,0.038177498,-128,onnx_tf_prefix_Relu_104;onnx_tf_prefix_Add_103
CONV_2D,667,25088.0,0.0012689237,-4.2129213e-06,0.014337357,1.612265e-06,0.00751927,-128,onnx_tf_prefix_Relu_106;Add_48;convolution_51;convolution_47;Const_12
TRANSPOSE,671,25088.0,0.0,0.0,0.0,0.0,0.00751927,-128,transpose_145
PAD,675,41472.0,0.0,0.0,0.0,0.0,0.00751927,-128,Pad_15
TRANSPOSE,679,41472.0,0.0,0.0,0.0,0.0,0.00751927,-128,transpose_147
CONV_2D,683,25088.0,0.0010558121,6.820841e-07,0.024393601,1.1361876e-06,0.0052119014,-128,onnx_tf_prefix_Relu_108;Add_49;convolution_51;convolution_48;Const_10
CONV_2D,687,100352.0,0.010936753,2.0486752e-05,0.04899237,0.000119636876,0.035425484,-28,Add_50;convolution_52;convolution_49;Const_8
ADD,691,100352.0,0.009990391,-0.00011505515,0.02420562,9.987751e-05,0.04842385,-128,onnx_tf_prefix_Relu_111;onnx_tf_prefix_Add_110
