op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name
CONV_2D,575,75264.0,0.0015792932,2.0064087e-06,0.008041531,2.4966089e-06,0.0061256117,-128,clip_by_value_20;clip_by_value_20/Minimum;transpose_92;Add_30;depthwise_10;convolution_20;Const_44
TRANSPOSE,579,75264.0,0.0,0.0,0.0,0.0,0.0061256117,-128,clip_by_value_20;clip_by_value_20/Minimum;transpose_92
PAD,583,98304.0,0.0,0.0,0.0,0.0,0.0061256117,-128,Pad_11
TRANSPOSE,587,98304.0,0.0,0.0,0.0,0.0,0.0061256117,-128,transpose_94
DEPTHWISE_CONV_2D,591,75264.0,0.0031213074,5.369999e-05,0.022296483,9.756083e-06,0.012210015,-128,clip_by_value_21;clip_by_value_21/Minimum;transpose_95;Add_31;depthwise_10;Const_42
TRANSPOSE,595,75264.0,0.0,0.0,0.0,0.0,0.012210015,-128,clip_by_value_21;clip_by_value_21/Minimum;transpose_95
TRANSPOSE,599,75264.0,0.0,0.0,0.0,0.0,0.012210015,-128,transpose_97
CONV_2D,603,18816.0,0.0071627856,0.00012072514,0.02673348,5.1352417e-05,0.021550957,-10,Add_32;convolution_25;convolution_21;Const_40
CONV_2D,607,112896.0,0.0013462433,4.3549067e-06,0.0071589556,1.8124883e-06,0.0060016834,-128,clip_by_value_22;clip_by_value_22/Minimum;transpose_101;Add_33;depthwise_13;convolution_22;Const_38
TRANSPOSE,611,112896.0,0.0,0.0,0.0,0.0,0.0060016834,-128,clip_by_value_22;clip_by_value_22/Minimum;transpose_101
PAD,615,147456.0,0.0,0.0,0.0,0.0,0.0060016834,-128,Pad_12
TRANSPOSE,619,147456.0,0.0,0.0,0.0,0.0,0.0060016834,-128,transpose_103
DEPTHWISE_CONV_2D,623,112896.0,0.0037625374,-1.2379312e-05,0.019495571,1.4161006e-05,0.019154951,-128,clip_by_value_23;clip_by_value_23/Minimum;transpose_104;Add_34;depthwise_13;depthwise_11;Const_36
TRANSPOSE,627,112896.0,0.0,0.0,0.0,0.0,0.019154951,-128,clip_by_value_23;clip_by_value_23/Minimum;transpose_104
TRANSPOSE,631,112896.0,0.0,0.0,0.0,0.0,0.019154951,-128,transpose_106
CONV_2D,635,18816.0,0.007638092,-3.660805e-05,0.024372822,5.8347006e-05,0.0245074,-14,Add_35;convolution_25;convolution_23;Const_34
ADD,639,18816.0,0.007758722,8.707539e-06,0.0134238545,6.0201666e-05,0.026864974,-22,onnx_tf_prefix_Add_66
CONV_2D,643,112896.0,0.0029438743,-2.0290552e-05,0.010834174,8.6713335e-06,0.014383879,-128,clip_by_value_24;clip_by_value_24/Minimum;transpose_110;Add_36;depthwise_13;convolution_24;Const_32
TRANSPOSE,647,112896.0,0.0,0.0,0.0,0.0,0.014383879,-128,clip_by_value_24;clip_by_value_24/Minimum;transpose_110
PAD,651,147456.0,0.0,0.0,0.0,0.0,0.014383879,-128,Pad_13
TRANSPOSE,655,147456.0,0.0,0.0,0.0,0.0,0.014383879,-128,transpose_112
