,op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name,range,rmse/scale
934,FULLY_CONNECTED,5695,49152.0,0.035455797,-0.0005058358,0.15659529,0.0012577877,0.080493785,10,onnx_tf_prefix_Add_1341;onnx_tf_prefix_Mul_1342;onnx_tf_prefix_Add_1343;onnx_tf_prefix_MatMul_1346;onnx_tf_prefix_Add_1347,20.525915174999998,0.4405967834907431
668,FULLY_CONNECTED,4588,49152.0,0.036733147,0.0019442044,0.22639209,0.0013543196,0.0837978,24,onnx_tf_prefix_MatMul_979;onnx_tf_prefix_Add_980,21.368439000000002,0.43916524665142853
492,FULLY_CONNECTED,3854,49152.0,0.053538386,-0.0027395028,0.22790939,0.0028753283,0.1221905,-8,onnx_tf_prefix_MatMul_737;onnx_tf_prefix_Add_738,31.1585775,0.4388400718526546
836,FULLY_CONNECTED,5286,49152.0,0.018760554,-0.00029202527,0.09515045,0.0003530155,0.04292441,-18,onnx_tf_prefix_MatMul_1205;onnx_tf_prefix_Add_1206,10.945724550000001,0.43771613201921533
1854,FULLY_CONNECTED,9518,49152.0,0.17755629,-0.008820492,0.9622207,0.03173541,0.41100165,-22,onnx_tf_prefix_MatMul_25831,104.80542075,0.4334395046355574
832,FULLY_CONNECTED,5268,49152.0,0.027934024,-0.0005325575,0.13007112,0.0007838439,0.06463451,-4,onnx_tf_prefix_MatMul_1197;onnx_tf_prefix_Add_1198,16.48180005,0.4331619805152602
1970,FULLY_CONNECTED,9998,49152.0,0.23762892,0.00075178506,1.1171576,0.056728944,0.5509291,-13,onnx_tf_prefix_Mul_2690;onnx_tf_prefix_Add_2691;onnx_tf_prefix_MatMul_2704;onnx_tf_prefix_Add_27051,140.4869205,0.43232130400951624
1770,FULLY_CONNECTED,9169,49152.0,0.21939547,-0.012754515,0.810569,0.048694063,0.5108539,-42,onnx_tf_prefix_MatMul_24701,130.2677445,0.43195777293593673
1938,FULLY_CONNECTED,9867,49152.0,0.22533144,-0.009888404,0.858048,0.051145077,0.5242326,34,onnx_tf_prefix_MatMul_26961,133.679313,0.43139776806055885
1495,FULLY_CONNECTED,8020,49152.0,0.1368599,-0.0075903274,1.11666,0.018841991,0.31821218,0,onnx_tf_prefix_MatMul_2085;onnx_tf_prefix_Add_2086;onnx_tf_prefix_Slice_44;Const_1083,81.1441059,0.4313666812532944
